,num_pos_pts,num_neg_pts,iou,acc
fern,9,1,0.8425492953397541,0.9494668762880883
flower,12,1,0.9684292529979491,0.9928391761587559
fortress,7,2,0.970006573403822,0.9943994193081689
horns_center,5,1,0.9697867515447411,0.9947803138319146
horns_left,3,2,0.9576241505417799,0.9974023479725316
leaves,3,2,0.9552490085548531,0.9972134862896326
orchids,4,1,0.7134792436187221,0.951108138389594
trex,5,1,0.8521577776615196,0.9814114102562181
